zone,year,month,temperature,rainfall,humidity
Northeast,2018,11,19.8,17.2,71.1
Northeast,2018,12,16.6,6.1,71.3
Northeast,2019,1,13.7,11.0,63.5
Northeast,2019,2,16.0,23.0,65.2
Northeast,2019,3,21.0,64.7,57.3
Northeast,2019,4,22.4,152.8,66.6
Northeast,2019,5,26.9,241.9,82.3
Northeast,2019,6,27.9,297.6,87.4
Northeast,2019,7,28.6,298.7,91.6
Northeast,2019,8,28.9,394.8,89.5
Northeast,2019,9,26.9,217.8,80.3
Northeast,2019,10,24.4,124.4,77.7
Northeast,2019,11,18.7,19.0,72.1
Northeast,2019,12,14.4,4.2,74.8
Northeast,2020,1,14.8,13.4,74.1
Northeast,2020,2,14.4,29.4,60.0
Northeast,2020,3,20.2,42.4,57.2
Northeast,2020,4,21.6,174.0,70.5
Northeast,2020,5,23.9,336.3,75.8
Northeast,2020,6,25.9,436.3,73.7
Northeast,2020,7,29.4,481.6,87.8
Northeast,2020,8,28.7,446.9,90.0
Northeast,2020,9,27.9,253.2,81.0
Northeast,2020,10,24.8,147.7,75.5
Northeast,2020,11,18.7,20.5,72.7
Northeast,2020,12,15.7,4.3,72.1
Northeast,2021,1,12.8,13.7,73.2
Northeast,2021,2,18.9,18.9,78.0
Northeast,2021,3,20.7,57.5,63.5
Northeast,2021,4,25.6,114.0,76.4
Northeast,2021,5,25.7,388.5,78.2
Northeast,2021,6,26.7,245.4,83.5
Northeast,2021,7,28.5,455.5,90.1
Northeast,2021,8,29.5,437.0,85.9
Northeast,2021,9,27.0,297.2,86.1
Northeast,2021,10,25.3,91.4,79.9
Northeast,2021,11,19.7,21.1,78.3
Northeast,2021,12,16.7,5.1,68.2
Northeast,2022,1,14.5,10.2,74.4
Northeast,2022,2,19.0,24.3,65.6
Northeast,2022,3,21.0,69.9,63.3
Northeast,2022,4,23.9,130.0,68.5
Northeast,2022,5,23.5,335.8,79.6
Northeast,2022,6,27.4,393.2,81.7
Northeast,2022,7,28.1,317.6,93.1
Northeast,2022,8,27.9,296.3,78.2
Northeast,2022,9,27.3,264.7,83.0
Northeast,2022,10,22.5,131.3,78.9
Northeast,2022,11,18.1,16.4,74.1
Northeast,2022,12,15.0,5.0,74.8
Northeast,2023,1,14.2,12.7,67.3
Northeast,2023,2,18.4,26.4,61.3
Northeast,2023,3,20.2,81.7,62.7
Northeast,2023,4,23.3,107.7,72.0
Northeast,2023,5,25.7,240.0,76.5
Northeast,2023,6,27.7,336.8,87.5
Northeast,2023,7,28.5,320.1,84.5
Northeast,2023,8,26.7,160.4,90.1
Northeast,2023,9,26.2,136.8,76.8
Northeast,2023,10,23.3,106.5,70.5
Northeast,2023,11,19.2,13.2,66.4
Northeast,2023,12,15.8,5.6,69.8
Northeast,2024,1,15.9,8.4,71.9
Northeast,2024,2,16.2,24.8,65.7
Northeast,2024,3,20.0,66.4,59.4
Northeast,2024,4,21.9,97.2,67.5
Northeast,2024,5,25.7,232.4,75.9
Northeast,2024,6,27.3,276.4,84.0
Northeast,2024,7,29.2,393.1,92.4
Northeast,2024,8,28.8,294.3,90.4
Northeast,2024,9,27.4,204.0,90.7
Northeast,2024,10,25.5,133.4,74.7
Northeast,2024,11,19.7,23.8,74.6
Northeast,2024,12,15.0,4.7,72.2
